24,35,32,26,52,87,52,59,95,67,98,29,16,76,21,45,54,58,56,82,54,55,81,32,81,90,57,36,4,94,59,83,64,91,62,21,32,95,48,25,29,41,35,16,62,7,41,16,44,96,80,25,37,54,25,95,61,74,26,90,19,37,21,35,21,4,66,52,50,87,33,37,91,98,3,27,69,12,62,33,4,50,12,35,40,24,55,9,59,38,10,62,99,56,13,33,89,94,75,66,
1,20,5,5,31,33,62,53,96,82,19,46,14,76,45,84,83,22,22,3,25,10,42,63,62,96,38,35,78,29,70,81,19,61,87,44,29,22,84,36,45,32,53,52,28,40,23,30,61,91,97,28,81,90,34,98,3,91,46,71,32,98,16,71,4,68,16,85,24,13,4,79,1,71,33,63,65,70,25,59,99,53,21,70,96,88,39,15,2,60,3,54,16,2,3,4,84,98,80,60,
87,3,28,11,43,87,65,34,16,53,31,46,96,65,5,17,8,73,33,19,71,4,3,57,96,80,52,40,80,56,98,39,83,54,15,31,33,2,46,30,86,79,58,40,81,59,79,50,45,32,79,40,42,70,59,97,18,2,14,95,23,66,71,36,80,26,99,24,47,46,30,81,64,58,0,10,20,98,76,50,78,32,0,13,68,87,95,43,36,20,47,41,65,77,94,30,39,88,90,59,
68,75,87,63,61,91,47,42,94,18,65,27,46,45,8,25,78,59,25,43,31,88,11,25,29,84,50,33,35,25,14,92,19,29,75,29,77,44,17,70,20,93,48,60,99,63,63,37,27,55,12,22,48,68,43,67,4,91,48,11,48,81,62,2,1,41,89,38,52,42,92,53,52,28,88,17,80,22,58,63,61,73,97,41,93,53,46,94,46,99,51,20,65,76,78,50,72,12,53,17,
1,79,46,17,29,42,33,33,70,4,3,91,26,17,94,78,7,62,14,49,16,18,41,57,97,77,13,2,27,76,23,50,25,25,42,58,92,5,12,32,29,80,97,82,11,23,82,74,77,66,82,47,48,10,19,34,8,31,70,20,2,32,91,19,22,18,76,27,10,15,73,17,2,24,62,66,56,48,90,83,83,97,54,71,2,45,19,83,88,80,98,22,63,0,62,77,95,87,97,65,
74,45,99,3,1,16,79,35,2,99,38,72,12,89,64,91,51,25,9,74,37,63,21,32,32,34,40,45,3,13,80,42,37,98,94,79,62,69,87,46,26,97,43,25,36,11,20,13,79,77,98,23,13,9,9,23,63,23,41,13,89,99,76,81,92,73,72,62,3,52,33,87,34,12,10,36,20,70,84,32,74,94,85,63,14,12,36,66,90,56,94,20,48,18,52,18,44,6,11,6,
81,75,91,44,52,99,32,52,45,31,70,58,22,63,88,58,89,87,20,67,2,5,93,8,0,86,98,2,15,8,89,32,8,0,31,68,61,68,69,46,55,48,20,12,52,89,58,42,28,66,35,35,67,29,71,18,23,80,33,42,78,91,11,88,88,8,11,28,41,62,20,31,30,49,45,82,83,22,26,20,85,18,86,29,10,16,37,68,79,62,0,41,4,93,78,84,49,23,34,63,
24,2,59,0,56,22,5,36,58,15,77,46,47,50,25,67,47,80,13,35,22,53,43,62,64,13,62,85,87,25,27,41,78,89,2,68,84,46,72,96,46,74,5,10,49,16,25,17,25,87,29,64,64,23,82,11,24,96,67,78,14,23,71,65,10,64,80,21,17,24,50,36,43,74,95,57,88,68,55,76,19,94,92,95,71,81,33,36,29,79,84,67,83,55,92,10,97,13,35,25,
71,86,18,91,75,51,45,58,93,44,14,87,14,81,5,19,31,70,1,88,70,93,61,88,68,85,98,22,89,62,16,72,55,78,81,50,27,63,89,83,40,52,64,42,65,74,51,69,74,10,9,11,63,28,1,57,11,54,99,20,37,22,48,49,52,40,63,20,80,47,88,29,28,86,71,14,81,61,56,26,2,37,91,89,22,27,74,38,51,6,27,40,35,58,28,44,41,60,84,81,
13,92,28,35,44,19,94,29,39,17,70,42,23,52,38,76,10,56,39,57,25,74,91,20,38,96,79,40,19,62,45,81,5,73,25,74,74,11,96,40,14,40,54,46,40,10,46,82,39,32,86,20,15,71,39,5,35,88,55,10,2,64,25,77,28,41,31,45,10,61,81,1,99,60,78,43,98,6,79,92,46,42,0,21,35,35,17,30,58,26,15,23,77,55,90,40,15,72,45,81,
15,21,52,99,1,65,6,71,91,7,61,8,38,10,55,41,77,33,20,25,7,49,32,82,42,48,18,51,73,40,39,25,62,63,43,13,21,75,76,77,27,59,62,15,38,82,95,67,87,81,89,32,13,71,45,29,90,60,18,74,36,68,32,15,84,17,37,65,41,75,32,82,14,35,55,46,66,97,53,52,24,53,12,71,55,52,87,73,76,82,31,29,3,99,37,34,80,73,3,5,
72,2,99,7,67,12,90,77,77,72,8,51,2,21,53,88,4,14,2,82,78,36,55,44,19,51,12,65,62,88,52,40,2,17,82,42,85,88,43,63,71,61,4,72,46,57,35,3,93,67,66,88,47,45,38,93,52,16,35,99,61,11,22,28,72,43,0,24,85,36,13,96,52,5,7,45,99,96,92,63,54,46,78,18,58,52,69,39,54,26,35,75,17,49,80,55,39,71,95,41,
34,6,4,7,74,87,78,63,95,99,60,93,75,59,59,80,52,96,30,60,23,10,50,19,61,43,44,46,68,45,43,78,44,84,47,21,41,70,71,9,6,45,39,6,39,77,3,91,56,70,14,54,36,79,60,73,98,10,69,71,67,70,66,20,77,35,10,96,56,76,98,81,62,98,80,71,96,16,28,8,13,9,72,69,34,97,11,64,83,9,43,60,8,16,84,79,38,56,31,44,
57,86,11,56,48,55,59,13,43,57,67,15,45,20,16,76,42,25,90,56,2,75,35,54,56,44,74,51,16,31,6,43,69,77,31,6,25,37,60,44,44,24,88,69,59,84,57,32,36,20,89,24,78,32,14,15,72,31,23,44,9,45,53,42,99,89,56,66,23,40,85,79,36,1,21,12,87,78,60,4,20,32,44,6,83,99,82,41,71,18,18,56,63,48,28,65,63,29,35,34,
99,59,61,0,57,7,91,41,29,14,49,99,59,55,98,94,76,73,23,40,36,99,43,61,38,41,5,62,37,94,67,33,47,72,85,28,9,69,13,71,52,3,76,93,5,70,13,40,51,68,90,9,50,26,21,49,86,80,71,7,39,99,88,86,47,29,25,12,19,1,45,12,23,76,5,73,83,89,75,42,60,99,43,64,77,82,99,43,6,68,28,50,87,49,29,92,97,73,13,83,
68,83,69,88,50,69,14,12,47,96,49,34,85,30,10,26,8,2,69,97,43,60,40,1,15,15,65,52,19,9,27,36,39,14,41,41,42,28,80,77,81,20,31,45,59,41,98,20,54,72,92,78,88,41,37,1,11,57,84,87,58,90,9,49,75,97,91,10,99,69,98,3,46,78,35,97,97,10,31,36,97,43,87,64,75,83,56,62,2,32,39,1,32,59,67,68,11,47,62,55,
1,96,97,42,11,9,54,19,67,14,82,96,39,84,53,81,23,85,64,58,80,22,23,32,79,63,64,32,54,9,24,30,71,74,75,17,23,18,31,23,66,8,14,86,18,26,69,19,69,36,96,5,8,77,21,99,97,96,54,83,7,42,74,29,90,70,38,91,12,50,81,61,21,29,7,11,91,29,83,34,17,91,40,42,84,41,85,9,26,13,59,28,44,39,4,72,49,83,18,91,
68,42,0,58,58,97,28,64,12,32,89,8,24,41,5,19,52,38,75,37,75,61,30,75,32,32,85,31,76,16,23,70,72,85,23,5,67,65,50,52,78,45,1,58,49,92,25,3,78,78,77,61,28,69,31,22,41,97,72,5,51,92,7,22,24,47,74,15,21,26,87,44,72,93,20,35,92,53,33,77,12,58,60,54,24,2,95,60,59,71,25,77,67,66,32,35,2,14,20,69,
91,44,42,88,39,74,2,90,97,14,49,18,90,23,78,12,56,11,24,82,93,13,78,32,48,24,22,4,10,31,87,87,58,25,95,51,86,69,35,52,27,13,68,22,58,7,58,90,76,63,17,36,7,35,15,89,20,35,3,89,24,90,8,6,68,42,93,40,41,51,11,79,5,15,16,43,48,69,90,73,73,18,32,83,80,32,20,94,27,80,28,10,29,8,60,76,20,34,41,63,
15,12,19,57,82,38,88,60,24,16,39,88,5,50,55,14,12,26,0,25,7,2,34,79,77,66,43,16,10,31,78,70,33,35,43,66,6,63,81,33,13,82,80,81,36,59,5,25,61,6,71,99,85,72,39,38,61,77,11,54,92,41,9,84,79,28,9,32,79,17,29,86,96,26,51,64,3,21,54,77,13,5,84,13,11,29,3,58,98,91,25,76,65,93,7,80,76,23,17,78,
1,84,45,11,66,85,80,60,12,97,64,87,89,98,0,89,37,8,42,49,79,98,23,24,48,56,51,73,25,67,95,99,51,39,56,89,1,50,50,53,39,25,67,35,80,28,74,73,49,83,32,74,96,93,99,35,27,80,93,0,54,10,57,13,10,30,46,55,48,44,83,16,20,86,14,45,6,4,57,46,85,31,23,46,11,18,44,3,68,84,20,23,92,78,13,74,99,84,62,94,
